UNIDADE;INSPECAO;Grupo;ITEM
64302377;6400492023;243;3
64302521;6400502023;243;2
64302415;6400512023;243;2
64302342;6400522023;243;3
64301401;6400532023;243;3
64300919;6400552023;243;1
64300919;6400552023;243;2
64300919;6400552023;243;3
64300463;6400562023;243;1
64300463;6400562023;243;2
64300463;6400562023;243;3
64303012;6400572023;243;1
64303012;6400572023;243;3
64301532;6400582023;243;1
64301532;6400582023;243;2
64301532;6400582023;243;3
64301761;6400592023;243;2
64301745;6400602023;243;1
64300668;6400612023;243;1
64301842;6400632023;243;2
64301842;6400632023;243;3
64301001;6400642023;243;1
64301206;6400652023;243;1
64301206;6400652023;243;2
64301206;6400652023;243;3
64301346;6400702023;243;1
64301346;6400702023;243;3
64301214;6400712023;243;1
64301214;6400712023;243;3
64300358;6400732023;243;2
64300501;6400752023;243;2
64300501;6400752023;243;3
64301478;6400782023;243;3
64302059;6400842023;243;2
64302237;6400852023;243;2
64300439;6400862023;243;2
64300439;6400862023;243;3
64301524;6400892023;243;2
64301524;6400892023;243;3
64300633;6400942023;243;1
64300633;6400942023;243;2
64301583;6400962023;243;1
64301583;6400962023;243;2
64303632;6400992023;243;2
64303632;6400992023;243;3
64300234;6401012023;243;2
64301133;6401022023;243;2
64030488;6401092023;646;1
64030488;6401092023;646;2
64056971;6401132023;646;2
64300307;6401152023;243;3
64300315;6401162023;243;3
64300579;6401192023;243;1
64300986;6401222023;243;2
64300986;6401222023;243;3
64301656;6401232023;243;3
64301125;6401252023;243;3
64300447;6401262023;243;2
64303021;6401272023;243;3
64301800;6401282023;243;1
64301800;6401282023;243;3
65059525;6500012023;646;1
65059525;6500012023;646;2
65059511;6500022023;646;1
65059511;6500022023;646;2
68426676;6800052023;646;2
68022949;6800062023;646;2
68301286;6800102023;243;2
68301286;6800102023;243;3
68022959;6800112023;646;2
68022958;6800132023;646;2
68047300;6800172023;646;2
68300042;6800202023;243;3
68022964;6800212023;646;2
68300514;6800232023;243;2
68300514;6800232023;243;3
68301111;6800272023;243;2
68302061;6800302023;243;3
68300280;6800312023;243;2
68301812;6800322023;243;3
68022955;6800332023;646;3
68301472;6800352023;243;3
68300719;6800362023;243;3
68301235;6800412023;243;3
68300204;6800532023;243;3
68300531;6800542023;243;2
68301073;6800552023;243;3
68301529;6800582023;243;3
68301758;6800592023;243;2
68300522;6800642023;243;2
70300151;7000012023;243;3
70300259;7000022023;243;3
70300526;7000032023;243;3
70300402;7000042023;243;3
70300089;7000052023;243;3
70300399;7000062023;243;3
70300119;7000082023;243;3
70300232;7000102023;243;3
70300429;7000152023;243;2
70300429;7000152023;243;3
70033486;7000162023;646;2
70023888;7000172023;646;1
70023888;7000172023;646;2
70023885;7000202023;646;2
70058287;7000252023;646;2
70426513;7000262023;646;2
70426513;7000262023;646;3
70300283;7000272023;243;3
70432421;7000292023;646;2
70300356;7000302023;243;3
72025487;7200022023;201;11
72025464;7200072023;646;2
72025324;7200082023;201;11
72025324;7200082023;646;2
72025276;7200092023;201;11
72025276;7200092023;646;2
72025491;7200102023;646;2
72025491;7200102023;646;3
72025246;7200112023;646;2
72025323;7200132023;646;2
72025375;7200142023;646;2
72025232;7200152023;646;2
72025361;7200162023;201;11
72025361;7200162023;646;2
72025329;7200172023;646;2
72025479;7200182023;201;11
72025479;7200182023;646;2
72025374;7200192023;646;2
72025215;7200202023;646;2
72025436;7200212023;201;11
72025436;7200212023;646;2
72062041;7200222023;646;2
72025366;7200232023;201;11
72025366;7200232023;646;2
72025634;7200242023;201;11
72025634;7200242023;646;1
72025634;7200242023;646;2
72025493;7200252023;646;2
72045448;7200262023;646;2
72025326;7200272023;201;11
72025326;7200272023;646;2
72025485;7200292023;646;2
72025410;7200302023;646;2
72025457;7200312023;201;11
72025457;7200312023;646;2
72025444;7200332023;201;11
72025444;7200332023;646;2
72025424;7200342023;201;11
72025424;7200342023;646;2
72025217;7200382023;646;2
72025505;7200392023;646;2
72025629;7200402023;646;1
72025469;7200412023;646;2
72025412;7200422023;201;11
72025412;7200422023;646;2
72025288;7200432023;646;2
72025330;7200442023;646;2
72025636;7200452023;646;1
72025636;7200452023;646;2
72025304;7200462023;646;2
72025419;7200472023;646;2
72025432;7200482023;646;2
72025916;7200502023;646;2
72025452;7200512023;201;11
72025452;7200512023;646;2
72036205;7200522023;646;1
72025919;7200532023;201;11
72025919;7200532023;646;2
72025416;7200542023;646;2
72035727;7200552023;646;2
72025376;7200562023;646;2
72025216;7200572023;201;11
72025216;7200572023;646;2
72061806;7200582023;646;2
72025635;7200592023;646;2
72425063;7200602023;201;11
72425063;7200602023;646;2
72025291;7200612023;201;11
72025291;7200612023;646;2
72025502;7200622023;646;2
72025470;7200632023;646;2
72025285;7200642023;201;11
72025285;7200642023;646;2
72025507;7200652023;201;11
72025507;7200652023;646;2
72025409;7200662023;201;11
72025409;7200662023;646;2
72062040;7200672023;646;2
72025632;7200682023;646;2
72025332;7200692023;646;1
72025332;7200692023;646;2
72058562;7200702023;646;2
72063174;7200712023;646;1
72025506;7200722023;646;2
72063173;7200742023;201;11
72063173;7200742023;646;2
72057279;7200752023;646;1
72057279;7200752023;646;2
72025630;7200762023;646;1
72025346;7200772023;646;2
72025508;7200782023;646;2
72025327;7200812023;646;1
72423162;7200822023;646;2
72025637;7200832023;646;1
72025637;7200832023;646;2
72025449;7200852023;646;2
72025402;7200862023;646;2
